Order ID,Order Date,Customer ID,Category,Sub-Category,Sales,Quantity,Cart Abandoned
1,2024-01-01,CUST1,Electronics,Phones,250,1,0
2,2024-01-16,CUST2,Clothing,Shirts,120,2,1
3,2024-01-31,CUST3,Home,Furniture,300,1,0
4,2024-02-15,CUST4,Clothing,Shoes,100,3,1
5,2024-03-01,CUST5,Electronics,Laptops,450,1,0
6,2024-03-16,CUST6,Electronics,Phones,250,1,0
7,2024-03-31,CUST7,Clothing,Shirts,120,2,1
8,2024-04-15,CUST8,Home,Furniture,300,1,0
9,2024-04-30,CUST9,Clothing,Shoes,100,3,1
10,2024-05-15,CUST10,Electronics,Laptops,450,1,0
11,2024-05-30,CUST11,Electronics,Phones,250,1,0
12,2024-06-14,CUST12,Clothing,Shirts,120,2,1
13,2024-06-29,CUST13,Home,Furniture,300,1,0
14,2024-07-14,CUST14,Clothing,Shoes,100,3,1
15,2024-07-29,CUST15,Electronics,Laptops,450,1,0
16,2024-08-13,CUST16,Electronics,Phones,250,1,0
17,2024-08-28,CUST17,Clothing,Shirts,120,2,1
18,2024-09-12,CUST18,Home,Furniture,300,1,0
19,2024-09-27,CUST19,Clothing,Shoes,100,3,1
20,2024-10-12,CUST20,Electronics,Laptops,450,1,0
